Make,Model,Year,Price,Age
Acura,MDX,2007,8450.0,32.0
Acura,RDX,2014,21767.5,17.33
Audi,A8,2019,67940.88,71.71
Audi,Q5,2012,15441.2,16.47
Audi,Q5,2015,25900.0,8.0
Audi,Q7,2018,47027.65,80.71
BMW,1 Series,2009,14823.82,17.71
BMW,3 Series,2008,7396.25,29.88
BMW,3 Series,2009,12885.0,32.0
BMW,3 Series,2013,13491.0,3.0
BMW,3 Series,2015,19206.91,25.71
BMW,4 Series,2014,21726.25,20.88
BMW,4 Series,2016,23529.71,90.71
BMW,5 Series,2012,11970.59,46.71
BMW,8 Series,2020,84900.0,28.71
BMW,M8,2020,131479.71,46.71
BMW,X1,2015,19325.29,22.71
BMW,X1,2016,23955.0,29.0
BMW,X3,2013,13667.94,22.71
BMW,X4,2021,58742.65,32.71
BMW,X5,2015,29547.35,22.71
Bentley,Continental GT,2017,133848.33,186.67
Buick,Enclave,2017,29723.53,54.71
Buick,Regal,2014,16594.71,40.71
Cadillac,CTS,2016,23458.53,27.71
Cadillac,CTS,2017,21408.85,61.69
Cadillac,Escalade,2016,60585.59,21.71
Cadillac,XT5,2017,27405.29,66.71
Chevrolet,Equinox,2013,13481.67,13.0
Chevrolet,Malibu,2018,19491.0,8.5
Chevrolet,Silverado 1500,2016,33438.18,12.45
Chrysler,Town & Country,2014,15493.82,24.71
Dodge,Durango,2019,45149.41,36.71
Ford,Edge,2014,13020.59,42.71
Ford,Explorer,2014,19922.35,63.71
Ford,Explorer,2015,21299.71,74.71
Ford,F-150,2012,24859.09,12.45
Ford,F-150,2014,21942.86,9.57
Ford,Transit-250,2015,21466.25,82.75
GMC,Acadia,2017,24622.86,153.0
GMC,Acadia,2019,29948.18,13.45
GMC,Yukon,2015,46372.5,23.69
GMC,Yukon XL,2016,43723.82,111.71
Honda,Accord,2015,19510.88,24.71
Honda,Accord,2017,23837.56,38.61
Honda,Accord,2018,26108.82,62.71
Honda,Accord,2020,28533.0,32.0
Honda,CR-V,2018,26742.65,56.71
Honda,Civic,2013,12329.64,76.5
Honda,Civic,2014,16991.0,14.5
Honda,Odyssey,2022,40334.71,51.71
Honda,Pilot,2012,17589.62,34.69
Honda,Ridgeline,2018,39864.09,11.45
